customer_id,customer_taxonomies
C0001,Frequent Shopper
C0002,Occasional
C0003,Price Sensitive
C0004,Price Sensitive
C0005,High Value
C0006,High Value
C0007,High Value
C0008,Occasional
C0009,Price Sensitive
C0010,Price Sensitive
C0011,High Value
C0012,Occasional
C0013,Occasional
C0014,Frequent Shopper
C0015,High Value
C0016,High Value
C0017,Frequent Shopper
C0018,Price Sensitive
C0019,Frequent Shopper
C0020,Frequent Shopper
C0021,Price Sensitive
C0022,High Value
C0023,Frequent Shopper
C0024,Frequent Shopper
C0025,Frequent Shopper
C0026,Price Sensitive
C0027,High Value
C0028,Price Sensitive
C0029,Price Sensitive
C0030,High Value
C0031,Price Sensitive
C0032,High Value
C0033,High Value
C0034,Occasional
C0035,Occasional
C0036,Occasional
C0037,Frequent Shopper
C0038,High Value
C0039,Price Sensitive
C0040,Frequent Shopper
C0041,High Value
C0042,Frequent Shopper
C0043,High Value
C0044,Occasional
C0045,Frequent Shopper
C0046,Price Sensitive
C0047,Frequent Shopper
C0048,Price Sensitive
C0049,Price Sensitive
C0050,High Value
C0051,Occasional
C0052,Price Sensitive
C0053,Occasional
C0054,Occasional
C0055,Price Sensitive
C0056,Occasional
C0057,High Value
C0058,High Value
C0059,High Value
C0060,Frequent Shopper
C0061,Frequent Shopper
C0062,Frequent Shopper
C0063,Occasional
C0064,Frequent Shopper
C0065,Frequent Shopper
C0066,Price Sensitive
C0067,High Value
C0068,Occasional
C0069,High Value
C0070,Occasional
C0071,Price Sensitive
C0072,High Value
C0073,High Value
C0074,Occasional
C0075,Price Sensitive
C0076,Price Sensitive
C0077,Price Sensitive
C0078,High Value
C0079,Frequent Shopper
C0080,High Value
C0081,Occasional
C0082,Price Sensitive
C0083,Frequent Shopper
C0084,High Value
C0085,Frequent Shopper
C0086,Frequent Shopper
C0087,Price Sensitive
C0088,Price Sensitive
C0089,Occasional
C0090,Frequent Shopper
C0091,High Value
C0092,Price Sensitive
C0093,Price Sensitive
C0094,Price Sensitive
C0095,Price Sensitive
C0096,Frequent Shopper
C0097,Price Sensitive
C0098,Frequent Shopper
C0099,High Value
C0100,High Value
C0101,High Value
C0102,Price Sensitive
