customer_id,customer_taxonomies,true_uplift_segment
C0001,Frequent Shopper,Persuadal
C0002,Occasional,Sure Thing
C0003,Price Sensitive,Lost Cause
C0004,Price Sensitive,Lost Cause
C0005,High Value,Lost Cause
C0006,High Value,Lost Cause
C0007,High Value,Lost Cause
C0008,Occasional,Lost Cause
C0009,Price Sensitive,Persuadal
C0010,Price Sensitive,Sure Thing
C0011,High Value,Persuadal
C0012,Occasional,Sleeping Dog
C0013,Occasional,Sleeping Dog
C0014,Frequent Shopper,Persuadal
C0015,High Value,Lost Cause
C0016,High Value,Sleeping Dog
C0017,Frequent Shopper,Persuadal
C0018,Price Sensitive,Sure Thing
C0019,Frequent Shopper,Sleeping Dog
C0020,Frequent Shopper,Persuadal
C0021,Price Sensitive,Lost Cause
C0022,High Value,Persuadal
C0023,Frequent Shopper,Sleeping Dog
C0024,Frequent Shopper,Sleeping Dog
C0025,Frequent Shopper,Sleeping Dog
C0026,Price Sensitive,Sure Thing
C0027,High Value,Lost Cause
C0028,Price Sensitive,Lost Cause
C0029,Price Sensitive,Persuadal
C0030,High Value,Lost Cause
C0031,Price Sensitive,Persuadal
C0032,High Value,Sure Thing
C0033,High Value,Persuadal
C0034,Occasional,Persuadal
C0035,Occasional,Persuadal
C0036,Occasional,Lost Cause
C0037,Frequent Shopper,Persuadal
C0038,High Value,Lost Cause
C0039,Price Sensitive,Persuadal
C0040,Frequent Shopper,Persuadal
C0041,High Value,Sure Thing
C0042,Frequent Shopper,Lost Cause
C0043,High Value,Persuadal
C0044,Occasional,Sure Thing
C0045,Frequent Shopper,Lost Cause
C0046,Price Sensitive,Sure Thing
C0047,Frequent Shopper,Persuadal
C0048,Price Sensitive,Persuadal
C0049,Price Sensitive,Lost Cause
C0050,High Value,Persuadal
C0051,Occasional,Lost Cause
C0052,Price Sensitive,Sure Thing
C0053,Occasional,Sleeping Dog
C0054,Occasional,Lost Cause
C0055,Price Sensitive,Sleeping Dog
C0056,Occasional,Sure Thing
C0057,High Value,Lost Cause
C0058,High Value,Sure Thing
C0059,High Value,Sure Thing
C0060,Frequent Shopper,Sure Thing
C0061,Frequent Shopper,Lost Cause
C0062,Frequent Shopper,Sleeping Dog
C0063,Occasional,Lost Cause
C0064,Frequent Shopper,Sure Thing
C0065,Frequent Shopper,Sure Thing
C0066,Price Sensitive,Lost Cause
C0067,High Value,Persuadal
C0068,Occasional,Persuadal
C0069,High Value,Sure Thing
C0070,Occasional,Persuadal
C0071,Price Sensitive,Persuadal
C0072,High Value,Persuadal
C0073,High Value,Persuadal
C0074,Occasional,Persuadal
C0075,Price Sensitive,Sleeping Dog
C0076,Price Sensitive,Sure Thing
C0077,Price Sensitive,Sure Thing
C0078,High Value,Lost Cause
C0079,Frequent Shopper,Persuadal
C0080,High Value,Sleeping Dog
C0081,Occasional,Lost Cause
C0082,Price Sensitive,Persuadal
C0083,Frequent Shopper,Sure Thing
C0084,High Value,Lost Cause
C0085,Frequent Shopper,Sleeping Dog
C0086,Frequent Shopper,Sure Thing
C0087,Price Sensitive,Sure Thing
C0088,Price Sensitive,Persuadal
C0089,Occasional,Sleeping Dog
C0090,Frequent Shopper,Persuadal
C0091,High Value,Sleeping Dog
C0092,Price Sensitive,Sure Thing
C0093,Price Sensitive,Sure Thing
C0094,Price Sensitive,Sure Thing
C0095,Price Sensitive,Persuadal
C0096,Frequent Shopper,Persuadal
C0097,Price Sensitive,Persuadal
C0098,Frequent Shopper,Persuadal
C0099,High Value,Lost Cause
C0100,High Value,Sure Thing
C0101,High Value,Persuadal
C0102,Price Sensitive,Sleeping Dog
C0103,Frequent Shopper,Lost Cause
C0104,Price Sensitive,Sleeping Dog
C0105,Occasional,Sleeping Dog
C0106,Frequent Shopper,Persuadal
C0107,Frequent Shopper,Sure Thing
C0108,Price Sensitive,Lost Cause
C0109,Frequent Shopper,Lost Cause
C0110,High Value,Persuadal
C0111,Frequent Shopper,Lost Cause
C0112,High Value,Persuadal
C0113,Occasional,Persuadal
C0114,Occasional,Sure Thing
C0115,Price Sensitive,Sure Thing
C0116,Occasional,Sure Thing
C0117,Occasional,Persuadal
C0118,High Value,Lost Cause
C0119,Occasional,Persuadal
